parameter,mean,median,mode,hpd_min,hpd_max,method,repressors,operator,IPTGuM,pred_bohr
delta_bohr,-0.16468319810595874,-0.16177356086002148,-0.15764491740286513,-0.340478733045817,2.1978396214095142e-07,flow cytometry,60.0,O1,5.0,-3.298121217496144
empirical_bohr,-2.8941526201483683,-2.8905019460195565,-2.878292234892349,-3.1210988029795903,-2.68255567223751,flow cytometry,60.0,O1,10.0,-2.4807819360535905
fc_mu,0.05271395425039786,0.052625087960056605,0.053237147158877285,0.04198241228864952,0.06370375112463156,flow cytometry,60.0,O1,10.0,-2.4807819360535905
fc_sigma,0.0175263101428084,0.01658238135767002,0.015237376755735704,0.010176934622897054,0.026983517563486468,flow cytometry,60.0,O1,10.0,-2.4807819360535905
delta_bohr,-0.4133706840947857,-0.4097200099659657,-0.39751029883875866,-0.6403168669259998,-0.20177373618391936,flow cytometry,60.0,O1,10.0,-2.4807819360535905
empirical_bohr,-1.7856553775188284,-1.782351144566011,-1.77962519798174,-1.979831660983511,-1.5949484761620387,flow cytometry,60.0,O1,25.0,-1.0815005592248088
fc_mu,0.14402438434023374,0.14401305812934972,0.14434942071632983,0.11983847369611578,0.1668972725498442,flow cytometry,60.0,O1,25.0,-1.0815005592248088
fc_sigma,0.03822525491887103,0.036299371051447454,0.03344832727648158,0.022605464802687374,0.05899616028315818,flow cytometry,60.0,O1,25.0,-1.0815005592248088
delta_bohr,-0.7041548182940274,-0.7008505853412021,-0.6981246387569311,-0.8983311017587021,-0.5134479169372299,flow cytometry,60.0,O1,25.0,-1.0815005592248088
empirical_bohr,-0.7585341439721784,-0.7558118551842681,-0.7537644860154216,-0.980896960143438,-0.5516616120547448,flow cytometry,60.0,O1,50.0,-0.034289154171474934
fc_mu,0.3194273810944698,0.3195562476131166,0.3200015920422412,0.27188750068694056,0.3645387589752649,flow cytometry,60.0,O1,50.0,-0.034289154171474934
fc_sigma,0.07562581890867068,0.0729707114936263,0.06686705928224343,0.0461591760725416,0.10967265568211322,flow cytometry,60.0,O1,50.0,-0.034289154171474934
delta_bohr,-0.7242449898007041,-0.7215227010127931,-0.7194753318439466,-0.946607805971963,-0.5173724578832699,flow cytometry,60.0,O1,50.0,-0.034289154171474934
empirical_bohr,-0.22974841363597767,-0.22789088643114408,-0.22770610673476577,-0.4180151697229694,-0.036864564843714524,flow cytometry,60.0,O1,75.0,0.5134856962819789
fc_mu,0.4429482137280852,0.44327257420501925,0.4433181749857572,0.3969918000055105,0.49078490237227756,flow cytometry,60.0,O1,75.0,0.5134856962819789
fc_sigma,0.07890792857489776,0.07586627909467232,0.07068815851304562,0.04801817726598616,0.11656209669009299,flow cytometry,60.0,O1,75.0,0.5134856962819789
delta_bohr,-0.7432341099179556,-0.741376582713123,-0.7411918030167447,-0.9315008660049484,-0.5503502611256934,flow cytometry,60.0,O1,75.0,0.5134856962819789
